"Malaria is very dangerous for pregnant women&more for new babies.U&baby should sleep under insecticide treated nets.Cover baby's arms,legs&feet in evening&at dawn.Try burning neem leaves or orange peels to keep mosquitos away or spray rooms.Clearing bushes around house&covering water containers helps too.If baby has fever go to clinic straight for early treatment that can save baby's life.*From Mobile Midwife*."	1
"If you haven't delivered yet,make sure U go to clinic to be sure all is fine.Don't just wait at home.If labour is not coming there may be a problem&your midwife can help.Waiting at home can be dangerous for U&baby.Try not to worry that something is wrong,but at times we need to help nature along&help start your labour.Remember,delivery at a health facility is safer for mother&baby.*From Mobile Midwife&Ghana Health Service~Your Health-Our Concern*."	2
"We hope you are finding motherhood good&are trying to get some rest.Are U breastfeeding? Do U have painful breasts?Its common as breasts try to make the right amount of milk for baby.Don't give up,it will soon be easier.Feed baby when they want to eat&they should be feeding at least 10times through a day&night.Don't be afraid to wake baby for feeding in order to release pressure in your breasts.Breastmilk ALONE is best for a healthy baby.*From Mobile Midwife*."	3
"Newborns only need a few things to be happy.Food,love,sleep&a clean nappy.Changing baby's nappy often is important-bacteria in urine&faeces can make skin sore&give rashes.This happens very quick in warm weather.Expect to change nappy before or after every feed.This should every 1-3hrs.Baby is well fed if you change 6-10 nappies/day.Clean baby's buttocks with soft,damp,clean cloth&be sure to wash hands with soap after every change*From Mobile Midwife*."	4
"Germs cause disease&infection for baby.The best way to keep germs from causing a problem for baby is by washing your hands. Wash with soap or ash&water rubbing them well. Always wash hands before holding or feeding baby, after changing nappies&after toileting,before cooking or eating&after touching uncooked meat,chicken or fish.Don't be afraid to tell others to wash their hands before holding or touching your new baby.It will go far in keeping baby healthy"	5
"Immunization protects baby from certain diseases.It is usually given by injection.Immunization tells the body to make antibodies, like soldiers to fight off disease.This week baby needs immunization against 5 of the childhood killer diseases.Go to CHPS for the injection.Even an immunized baby can still fall sick from other problems. Take baby to clinic if baby has fever,is breathing very hard or fast,not sucking at the breast,is limp,weak,or coughing."	6
"U need to go to PNC to be sure U are fine after giving birth.At clinic it is important to talk with doctor about family planning.Getting pregnant again too quick is dangerous for your health.Breastfeeding may keep your period away for some time,but U will be fertile before you see your period return and U can get pregnant.Use a family planning method that is good for U to give your body time to recover&to be strong enough to carry a next pregnancy."	7
"Baby is growing very fast&should gain about 1kg a month.At clinic the nurse will weigh&measure baby to be sure he is growing well.Baby should also be getting stronger now.He can not hold his head up well yet,but can watch things close to his face.He now also looks to see where voices or noise are coming from.If baby is not getting stronger,not sucking well at the breast,coughing or vomiting with force,or not breathing easy take baby to clinic straight."	8
"Most 9wk old babies wake up in the night to feed&also play.When baby wakes U must give breastmilk to help her grow.Don't give tea or any other drink.Breastmilk is all baby needs until 6mos of age.When sleeping,be sure the matress is firm.Baby only needs a light covering,so coverings don't wrap around head or neck&baby is not too warm.If U are warm then so is baby.Baby must be protected from malaria by sleeping under insecticide treated mosquito net."	9
"This week baby needs another immunization injection to protect them from the childhood killer diseases.Taking baby to clinic gives U chance to ask any questions about how baby is doing.U can get help with breastfeeding if needed.Baby should still only drink breastmilk as it gives baby everything needed to grow strong&stay healthy.Do not give any solids as baby's belly is not ready to manage them yet.Give breastmilk alone until 6 mos of age."	10
"Having children too close together is dangerous for your health.U have the risk of bleeding too much on the next delivery,which can lead to death.Breastfeeding stops your period from coming but U can get pregnant.U will be able to get pregnant before U see your period so it is important to use family planning to give your body time to recover from this pregnancy.Some years between your children also gives time to prepare financially for the next baby."	11
"Ghana weather is hot most of the time.Babies can overheat easily&it is very dangerous.If baby gets a rash on neck,under arms,or near edge of nappies,it is a rash to tell you that baby is to warm.Keep baby cooler by dressing in loose,light,cotton clothes.If U think baby is overheated,touch the skin.Damp hot skin is a sign baby is too warm.Make sure baby drinks plenty of breastmilk to keep from getting dehydrated,but dont give water or minerals.  "	12
"This week see how baby moves arms&legs.Smoother&more gentle.Give baby space to strech&move arms&legs.Put baby down on clean mat&let move her freely.This helps make muscles stronger.Help her learn by holding a toy&see if she will reach&pick it.When baby is on the belly she should start to push off with the legs.All babies grow at their own pace but baby should be moving legs&arms very well or maybe she is not well.If U are not sure take baby to clinic to see."	13
"This week your baby needs another immunization injection to protect them from the childhood killer diseases. Immunizations are free under NHIS.After injection baby may cry a lot or show a small rash.Make sure to breastfeed frequently so he will feel fine soon.But if baby is very warm (fever),vomiting with force,not breathing well or coughing with force it is a sign that baby is sick&needs to see the doctor straight away.Take him before it is too late."	14
"Diarrhoea kills babies by draining liquid from the body causing dehydration.Send baby to clinic if she passes 3 or more watery stools in a day.Don't give baby anything but breastmilk unless told to by the doctor.Minerals,water or traditional medicines can make the sickness worse.Breastfeed often to replace lost fluids.Keep baby safe from diarrhoea sickness by putting all faeces from baby in a latrine,toilet or buried.Always wash hands before touching baby."	15
